ティア,ID,親1,親2,親3,名前,属性,威力,頻度,範囲攻撃,空中対応,兵士排出,役割,スキル１,スキル２
2-fusion,2F-1,兵士,弓,,忍者,物理,低,高,単体,可,有,1体を足止めする忍者を三人召喚。体力と攻撃力低め、攻撃頻度高め。クナイを投げて空中の敵を攻撃できる。,バフ型：たまに攻撃を避ける。,-
2-fusion,2F-2,兵士,魔法,,聖騎士,物理,中,中,単体,不可,有,二人足止めする魔法の騎士を二人出す。防御力高め。,技型：魔法属性の範囲攻撃を行う。,-
2-fusion,2F-3,兵士,砲台,,重装歩兵,物理,高,低,小範囲,不可,有,3体を足止めする重装歩兵を2体召喚。近接範囲攻撃。,技型：”爆弾投げ”で遠距離攻撃ができるようになる。,-
2-fusion,2F-4,弓,魔法,,炎の精霊,魔法,低,高,単体,可,無,低めの威力の魔法弾を高速連打する。攻撃が当たった敵の魔法防御を下げる。,技型：”魔力暴走”で数秒間だけ攻撃頻度が上がる。,-
2-fusion,2F-5,弓,砲台,,連射弓,物理,低,高,単体,可,無,極限まで攻撃頻度を上げた弓。高射程低威力。,バフ型：さらに連射速でUP,-
2-fusion,2F-6,魔法,砲台,,地震発生機,魔法,中,中,範囲,不可,無,魔法の継続ダメージを与える地形を作り出す。空中の敵には当たらない。,バフ型：攻撃力UP,-
3-fusion,3F-1,兵士,弓,魔法,ゾンビ,物理,中,中,単体,不可,有,決まった時間ごとにゾンビを出現させる。ゾンビは兵士と同じようにその場にとどまって戦うルートを遡って接触した敵と戦うウォーキングデッド。このタワーの周りで敵を倒すと、味方ゾンビとなって蘇る。数は無限。,バフ型：タワーの周りで地形ダメージを与えるようになる,バフ型：ゾンビの耐久UP
3-fusion,3F-2,兵士,弓,砲台,ゴーレム,物理,低,高,小範囲,可,有,凄まじい攻撃力を持つが、その反面攻撃頻度とリスポーンが遅い。上限なく敵を受け止め、範囲攻撃で一掃する。,バフ型：死んだ時に大爆発を起こして物理属性範囲ダメージ,技型：必殺技で強い攻撃
3-fusion,3F-3,兵士,魔法,砲台,聖者,なし,なし,なし,範囲,不可,無,周りの兵士を少しずつ回復する。周りのタワーの攻撃力と攻撃範囲を上げる。ただし倍率が小さく、うまく置かないとコスパが悪い。このタワーそのものは攻撃しない。,バフ型：バフの倍率を上げる,バフ型：バフをかける範囲を広くする
3-fusion,3F-4,弓,魔法,砲台,ビーム砲,魔法,高,中,範囲,可,無,数秒間持続し、画面外まで伸びる極太ビームを放つ。超高威力だが頻度は遅いし、対象がランダムなので安定しない。,技型：魔法属性の大爆発,技型：T字型ビーム
